materialSampleID,principalInvestigator,locality,phylum,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferenceProtocol,yearCollected,monthCollected,dayCollected,genus,species,permitInformation,basisOfIdentification,country,lifeStage,sex,geneticTissueType,stateProvince,island,islandGroup,establishmentMeans,habitat,microHabitat,substratum,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,associatedTaxa,wormsID,weight,length,class,order,family,subSpecies,vernacularName,taxonRemarks,sampleOwnerInstitutionCode,fundingSource,occurrenceID,catalogNumber,associatedSequences,recordedBy,identifiedBy,yearIdentified,monthIdentified,dayIdentified,preservative,samplingProtocol,plateID,wellID,extractionID,previousTissueID,tissueStorageID,associatedMedia,associatedReferences,previousIdentifications,occurrenceRemarks,fieldNotes,eventRemarks,bcid
1434,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010128; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1434,,KJ779150,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21434
1424,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010118; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1424,,KJ779140,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21424
1421,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010115; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1421,,KJ779137,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21421
1432,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010126; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1432,,KJ779148,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21432
1418,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010112; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1418,,KJ779134,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21418
1419,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010113; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1419,,KJ779135,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21419
1429,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010123; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1429,,KJ779145,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21429
1430,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010124; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1430,,KJ779146,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21430
1435,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010129; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1435,,KJ779151,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21435
1417,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010111; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1417,,KJ779133,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21417
1415,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010109; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1415,,KJ779131,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21415
1300,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2010,5,10,Pomacentrus,coelestis,"""AU-COM2010068; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,3,3,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1300,,KJ779121,Liggins,Liggins,2010,5,10,EtOH,whole,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish in vial""",ark:/21547/qR21300
1422,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010116; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1422,,KJ779138,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21422
1427,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010121; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1427,,KJ779143,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21427
1426,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010120; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1426,,KJ779142,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21426
1301,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2010,5,10,Pomacentrus,coelestis,"""AU-COM2010068; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,3,3,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1301,,KJ779122,Liggins,Liggins,2010,5,10,EtOH,whole,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish in vial""",ark:/21547/qR21301
1431,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010125; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1431,,KJ779147,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21431
1412,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010106; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1412,,KJ779128,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21412
1425,Cynthia Riginos,Ashmore Reef,Chordata,-12.30718333,122.9852167,,GPS,2009,5,12,Pomacentrus,coelestis,"""AU-COM2010119; Department of Environment, Water, Heritage and Arts""",Morphology,Australia,adult,,,Western Australia,,,,,,,4,4,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1425,,KJ779141,Liggins,Liggins,2009,5,12,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""photo, whole fish kept""",ark:/21547/qR21425
